-0.090842, 0.736508, 0.650549, 1.000000, 1.016667, 1.016667 
-0.101587, 0.737485, 0.675946, 0.677236, 0.950439, 0.925005 
-0.096703, 0.741392, 0.639805, 0.496732, 0.917750, 0.883948 
-0.092796, 0.737485, 0.642735, 0.381539, 0.900183, 0.853224 
-0.110379, 0.742369, 0.636874, 0.300648, 0.889104, 0.833995 
-0.107448, 0.740415, 0.650549, 0.236901, 0.883013, 0.820089 
-0.095726, 0.745299, 0.614408, 0.187089, 0.879053, 0.812232 
-0.103541, 0.745299, 0.679853, 0.148219, 0.877336, 0.801709 
-0.098657, 0.745299, 0.660317, 0.114891, 0.876524, 0.802245 
-0.092796, 0.752137, 0.629060, 0.087389, 0.876291, 0.800633 
-0.084005, 0.742369, 0.637851, 0.064647, 0.877287, 0.795645 
-0.082051, 0.741392, 0.638828, 0.046160, 0.877175, 0.792687 
-0.072283, 0.736508, 0.610501, 0.030386, 0.877136, 0.790425 
-0.076190, 0.738462, 0.614408, 0.017854, 0.876637, 0.785129 
-0.077167, 0.726740, 0.614408, 0.006441, 0.876535, 0.781078 
-0.079121, 0.733578, 0.663248, -0.003663, 0.875100, 0.777603 
-0.074237, 0.745299, 0.672039, -0.012754, 0.874716, 0.780493 
-0.091819, 0.738462, 0.672039, -0.020144, 0.875827, 0.784123 
-0.099634, 0.736508, 0.648596, -0.028745, 0.876009, 0.787339 
-0.090842, 0.744322, 0.648596, -0.037242, 0.875955, 0.787376 
-0.098657, 0.737485, 0.653480, -0.043661, 0.876858, 0.787423 
-0.099634, 0.728694, 0.648596, -0.050243, 0.876845, 0.788060 
-0.104518, 0.731624, 0.643712, -0.056151, 0.875789, 0.788043 
-0.089866, 0.738462, 0.659341, -0.061935, 0.875217, 0.787451 
-0.096703, 0.735531, 0.631013, -0.065274, 0.875534, 0.788802 
-0.098657, 0.736508, 0.623199, -0.069031, 0.875467, 0.786608 
-0.094750, 0.737485, 0.624176, -0.072571, 0.875526, 0.783746 
-0.100611, 0.744322, 0.644689, -0.075222, 0.875697, 0.781343 
-0.086935, 0.748230, 0.676923, -0.078255, 0.876665, 0.781681 
-0.082051, 0.748230, 0.643712, -0.079293, 0.877985, 0.785830 
-0.090842, 0.749206, 0.647619, -0.079622, 0.879149, 0.785517 
-0.076190, 0.741392, 0.625153, -0.080963, 0.880290, 0.785708 
-0.075214, 0.740415, 0.631990, -0.080393, 0.880362, 0.783192 
-0.079121, 0.742369, 0.622222, -0.079774, 0.880308, 0.781794 
-0.079121, 0.723810, 0.663248, -0.079696, 0.880495, 0.779396 
-0.078144, 0.736508, 0.650549, -0.079627, 0.878442, 0.782186 
-0.087912, 0.730647, 0.639805, -0.079450, 0.878152, 0.783126 
-0.084982, 0.738462, 0.647619, -0.080461, 0.877196, 0.782670 
-0.085958, 0.738462, 0.635897, -0.081001, 0.877288, 0.783202 
-0.103541, 0.740415, 0.634921, -0.081593, 0.877369, 0.782270 
